순위,분류,관련 키워드,언급건수
1,휴식/힐링,힐링,248240
2,레포츠,캠핑,112578
3,레포츠,등산,83815
4,휴식/힐링,나들이,73424
5,레포츠,빠지,59438
6,레포츠,낚시,57478
7,기타,투어,53639
8,휴식/힐링,휴양,42790
9,레포츠,산행,37756
10,휴식/힐링,피크닉,31866
11,레포츠,트레킹,22803
12,휴식/힐링,불멍,22496
13,레포츠,글램핑,21169
14,레포츠,레저,20314
15,휴식/힐링,즐길거리,19060
16,레포츠,스키,18129
17,기타,데이트코스,17276
18,휴식/힐링,야영,16672
19,레포츠,오토캠핑,13385
20,레포츠,제트스키,12796
21,기타,답사,11821
22,기타,해외여행,11126
23,휴식/힐링,재충전,9768
24,레포츠,차박,9366
25,레포츠,해양레저,9049
26,레포츠,서핑,7954
27,레포츠,짚라인,7808
28,휴식/힐링,물멍,7360
29,레포츠,트래킹,6939
30,휴식/힐링,테라피,6765
31,레포츠,카약,6733
32,휴식/힐링,생태관광,6533
33,레포츠,하이킹,6527
34,레포츠,바다낚시,6182
35,미식,맛집탐방,6159
36,체험,갯벌체험,6148
37,레포츠,레포츠,6095
38,미식,먹부림,6042
39,휴식/힐링,힐링여행,5926
40,체험,생태체험,5925
41,휴식/힐링,호캉스,5665
42,휴식/힐링,가을여행,5379
43,체험,템플스테이,5196
44,레포츠,게이트볼,4831
45,휴식/힐링,워케이션,4805
46,레포츠,스노클링,4796
47,휴식/힐링,신혼여행,4693
48,휴식/힐링,촌캉스,4592
49,레포츠,캠프파이어,4108
50,레포츠,클라이밍,3989
51,휴식/힐링,겨울여행,3782
52,미식,맛집투어,3734
53,체험,농촌체험,3647
54,미식,카페투어,3615
55,기타,부산여행,3456
56,레포츠,수상레저,3403
57,기타,일본여행,3140
58,체험,수학여행,3021
59,레포츠,래프팅,2984
60,체험,목공체험,2891
61,휴식/힐링,드라이브코스,2857
62,레포츠,백패킹,2808
63,레포츠,스쿠버,2794
64,미식,빵지순례,2569
65,휴식/힐링,요트투어,2555
66,레포츠,해양스포츠,2506
67,레포츠,해양레포츠,2500
68,레포츠,프리다이빙,2488
69,체험,어촌체험,2456
70,휴식/힐링,바다멍,2416
71,레포츠,패러글라이딩,2311
72,휴식/힐링,봄여행,2289
73,레포츠,수상레져,2255
74,휴식/힐링,일광욕,2247
75,레포츠,스쿼시,2236
76,기타,기차여행,2188
