순위,관광지ID,관광지명,분류
1,ae8da164ba9b3b5d7ffb4cd33b5af12a,롯데프리미엄아울렛김해점,쇼핑몰
2,72c38469b443dcd14b3a2c8a954e11de,통도사,종교성지
3,f0b5fdaba0892ead37a6296850b8d55d,통영중앙전통시장,시장
4,2c634ec4fe824d939c0011bbdb7d9f7e,창원중앙역,교통시설
5,c5a13ceb89b80cd872f8993854534b24,롯데백화점창원점,백화점
6,a737021e330b207e10a3a7b4e475eb01,신세계백화점김해점,백화점
7,109fa19e7c8e3feb8803052401877b8b,마산역,교통시설
8,53b32f312946d0e4491841f5bdb1b51f,독일마을,기타관광
9,95d5dbd8c7dec0cbf7a63319ade547dd,소노캄거제,콘도미니엄
10,ce541c3fff48351526f81e29251578b2,마산시외버스터미널,교통시설
11,74e46a7e9365c6fd7ebfdea567445510,바람의언덕,기타문화관광지
12,536b6116fa9f1db1ed9722d6b36be159,한화리조트거제벨버디어,콘도미니엄
13,68704dd3250b515fc589231a12a95a90,매미성,역사유적지
14,66374421df13ac2be19475843c5db390,진주역,교통시설
15,c6f122f21209b3fbd226eafbcd617556,창원역,교통시설
16,fb3b5566fcae4eeef19ce5b3983b126f,창원종합버스터미널,교통시설
17,59a12348fa44c40682eaf2c6a124ae61,화개장터,시장
18,e99e301788c299998f2c48d09b1785dc,보리암,종교성지
19,edf8f18b5420c9539b237e4b7fa93b96,밀양역,교통시설
20,b17afcd4d93c16b1737ea645b3b087dd,마산어시장,시장
21,7c656d8d0275adad574ffdd0058ad5f4,삼천포용궁수산시장,시장
22,6cbb371fdb6401775d4f63261159cdef,해인사,종교성지
23,83810e722e3d0c1be8f921908e3ce27f,롯데몰진주점,쇼핑몰
24,c909521480364c962733d2e223a551ba,김해롯데워터파크본관,테마공원
25,c6dad51dd16a59bca5ca9d34d1ac568b,사천공항,교통시설
26,21fb2b0a8b88e60805ef49b002e4efbc,신세계백화점마산점,백화점
27,e47e5660cda3830302fdd7900cf16236,창원컨벤션센터,전시시설
28,f9ce7b974169a36fff6ae7f6522fdb1b,황산공원,도시공원
29,b6e8c5451a2f2a81cf2dc6a7ca9903ea,물금역,교통시설
30,108c400cf09b2da624e2dbd71387fec5,마산로봇랜드,테마공원
31,34ab6e2e6cd2d1c5879231726411f173,삼성궁,기타관광
32,5ef8e693a17e39321026ebe17146ac4a,상남시장,시장
33,e45969adfacfce16184f83738c2368ca,거제고현시장,시장
34,58f76c22677c5b39d196de58a947b924,금호리조트통영마리나,콘도미니엄
35,598d1ba95f4d25646e128b6c0dcd6f43,마금산원탕보양온천,웰니스관광
36,fb52889f1d613ff2b995edb4ad71c7f2,고현시외버스터미널,교통시설
37,2c3b7f42d8051df9da893d8e14528adb,통영케이블카,기타관광
38,8da434102aee85aba01a827b3b2773b7,렛츠런파크부산경남,육상레저스포츠
39,bacf4384d340f209c1bf292b65710986,진영역,교통시설
40,25f0802ccc01270683ee5d6229899686,더시티7쇼핑몰,쇼핑몰
41,e2ce921ce3e654624e79ed7b879fed8b,가야CC,육상레저스포츠
42,6540f9d4e534a4d58ae8e0a82b5cb69e,표충사,종교성지
43,703a7b542ef4a3aef68e608aa2e38a4a,그랜드머큐어앰버서더호텔,호텔
44,793ba1867b4b018044357ac29a55fb07,진주시외버스터미널,교통시설
45,911d062d4ba47ebd903af74397107989,쌍계사,종교성지
46,0a7a620b9ed2434d98f9646d4f0f5568,통영여객선터미널,교통시설
47,725d106c0d34b762fae3f4c8bcb12d64,용원어시장,시장
48,d603c017e3fd0d35cbd0726314556db0,사천바다케이블카대방정류장,기타관광
49,4c71d73c8d2bdc3dcc2f57d041f05cc1,대동백화점,백화점
