기준연월,지역명,관광소비액(백만원),전국 관광소비액(백만원),전국 대비 관광소비율
202310,경상남도,142735,3672830,3.9
202311,경상남도,125443,3352999,3.7
202312,경상남도,129557,3565655,3.6
202401,경상남도,115631,3070452,3.8
202402,경상남도,117478,3028104,3.9
202403,경상남도,131907,3480463,3.8
202404,경상남도,127858,3370064,3.8
202405,경상남도,138010,3564908,3.9
202406,경상남도,128114,3392003,3.8
202407,경상남도,125115,3271115,3.8
202408,경상남도,134713,3431813,3.9
202409,경상남도,126106,3254116,3.9
202410,경상남도,132273,3409220,3.9
202411,경상남도,126135,3264109,3.9
202412,경상남도,119534,3256769,3.7
202501,경상남도,117212,3014686,3.9
202502,경상남도,103794,2781058,3.7
202503,경상남도,130255,3298192,3.9
