rownumber,자치단체코드(신고지역),인허가번호,서비스id,데이터갱신구분,데이터갱신일자,서비스id명,사업장명,지번우편번호,지번주소,도로명우편번호,도로명주소,인허가일자,폐업일자,휴업시작일자,휴업종료일자,재개업일자,영업상태,상세영업상태,좌표정보(x),좌표정보(y),최종수정일자,업태구분명,전화번호,개관일자,객실수,건물용도명,건축연면적,기념품종류,기획여행보험시작일자,기획여행보험종료일자,놀이기구수내역,놀이시설수,무대면적,문화사업자구분명,문화체육업종명,박물관미술관유형명,박물관미술관종류명,발전시설유무,방송시설유무,법인명,법인설립목적,법인해산일자,보험기관명,보험시작일자,보험종료일자,부대시설내역,선박제원,선박척수,선박총톤수,설립_운영주체구분명,소요자금,승려수,시설규모,시설면적,신도수,안내소유무,영문상호명,영문상호주소,유래연혁,의무실유무,자본금,전통사찰명,제작취급품목내용,좌석수,주변환경명,준공일자,지상층수,지역구분명,지정취소,지정취소사유,지정취소일자,지하층수,창립연대,총층수,폐관사유,폐관일자,허가조건,회의실별동시수용인원
1,3290000,CDFI5272002021000001,03_07_08_P,U,2025-02-26 02:40:00,유원시설업(기타),라라 키즈 어드벤처 롯데마트 부산점,,부산광역시 부산진구 부암동 257 롯데키즈마트,47187,"부산광역시 부산진구 신천대로 241, 롯데키즈마트 4층 (부암동)",2021-09-15,,,,,영업/정상,영업중,386646.262710145,186822.941472238,2025-02-24 17:40:42,,,,0,,0,,,,,0,0,,신고유원시설업,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,,,0,,,0,,,,,0,,0,,,,0
5,3310000,CDFI5272002019000002,03_07_08_P,U,2025-03-02 02:40:00,유원시설업(기타),뽀로로파크 부산W스퀘어점,,부산광역시 남구 용호동 954 더블유 스퀘어1동 B103호,48515,"부산광역시 남구 분포로 145, 스퀘어1동 B103호 (용호동, 더블유)",2019-01-23,,,,,영업/정상,영업중,392495.046847798,183633.944535074,2025-02-28 18:33:41,,070-4343-2832,,0,,0,,,,매니저 공용 pororoparkw@naver.com /051-612-8557/,0,0,,신고유원시설업,,,,,,,,,,,,,0,0,,,,1662,1662.4,,Y,,,,,0,,,0,,,0,,,,,0,,0,,,,0
3,3310000,CDFI5272002018000002,03_07_08_P,U,2025-04-20 02:40:00,유원시설업(기타),바운스 트램폴린파크 더블유스퀘어점,,부산광역시 남구 용호동 954 더블유 더블유스퀘어1동 B102호,48515,"부산광역시 남구 분포로 145, 더블유스퀘어1동 B102호 (용호동, 더블유)",2018-12-26,,,,,영업/정상,영업중,392495.046847798,183633.944535074,2025-04-18 17:55:27,,051-622-0150,,0,,0,,,,문화관광체육과-15100 (2020.12.15.),0,0,,신고유원시설업,,,,,,,,,,,,,0,0,,,,1445,1445.4,,,,,,,0,,,0,,,0,,,,,0,,0,,,,0
10,3390000,CDFI5272002016000009,03_07_08_P,U,2025-03-01 02:40:00,유원시설업(기타),장난감이야기냉정점,,부산광역시 사상구 주례동 74-36,47006,부산광역시 사상구 가야대로366번길 26 (주례동),2016-11-30,2025-02-27,,,,취소/말소/만료/정지/중지,직권말소,383335.243749417,185259.698271048,2025-02-27 10:15:43,,,,0,,0,,,,,0,0,,신고유원시설업,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,,,0,,,0,,,,,0,,0,,,,0
11,3390000,CDFI5272002016000007,03_07_08_P,U,2025-03-01 02:40:00,유원시설업(기타),캐치미돌,,부산광역시 사상구 괘법동 546-11,46968,"부산광역시 사상구 사상로 196, 1층 (괘법동, 한빛빌딩)",2016-11-15,2025-02-27,,,,취소/말소/만료/정지/중지,직권말소,380760.386751518,186640.621338401,2025-02-27 10:15:18,,,,0,,0,,,,,0,0,,신고유원시설업,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,,,0,,,0,,,,,0,,0,,,,0
2,3320000,CDFI5272002019000006,03_07_08_P,U,2025-03-09 02:40:00,유원시설업(기타),주니어킹덤,,부산광역시 북구 화명동 2271-5 목양프라자,46524,"부산광역시 북구 화명대로 17, 목양프라자 4층 (화명동)",2019-09-06,,,,,영업/정상,영업중,382924.245586329,194752.730418991,2025-03-07 13:53:07,,051-363-2288,,0,,0,,,,,5,0,,신고유원시설업,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,,,0,,,0,,,,,0,,0,,,,0
5,3320000,CDFI5272002019000001,03_07_08_P,U,2025-04-06 02:40:00,유원시설업(기타),파리봉봉(화명점),,부산광역시 북구 화명동 2269-3 시티타워 1201호,46525,"부산광역시 북구 금곡대로303번길 2, 시티타워 1201호 (화명동)",2019-02-20,,,,,영업/정상,영업중,383217.253829884,194786.946259107,2025-04-04 10:28:44,,051-363-0060,,0,,0,,,,,0,0,,신고유원시설업,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,,,0,,,0,,,,,0,,0,,,,0
2,3320000,CDFI5272002019000005,03_07_08_P,U,2025-04-24 02:40:00,유원시설업(기타),아이점프 만덕점,,부산광역시 북구 만덕동 761-1 벽산라인훼미리타운,46570,"부산광역시 북구 만덕3로16번길 11, 벽산라인훼미리타운 (만덕동)",2019-07-13,,,,,영업/정상,영업중,384311.036237076,192151.536208837,2025-04-22 10:44:57,,,,0,,0,,,,,0,0,,신고유원시설업,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,,,0,아파트지역,,0,,,,,0,,0,,,,0
7,3370000,CDFD1001,03_07_11_P,U,2025-03-07 02:40:00,전통사찰,마하사,,부산광역시 연제구 연산동 2039,,부산광역시 연제구 봉수로 138 (연산동),1988-07-19,,,,,영업/정상,지정,390128.227726181,186932.124887167,2025-03-05 17:05:09,,051-852-2436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,,,,"아도화상이 창건하였다고 전하여 오고 있으며, 확실한 근거는 없으나 일설에 의하면 아도화상께서 경북 선산군 도리사를 창건하시고 10년후쯤 마하사를 창건하였다고 함으로 531년경 창건된 것으로 추정된다. 전설에 의하면 동지팥죽을 끓이는데 불씨가 없어 황령산 봉화수직인에게 나한님이 불씨를 얻어다 불을 지피게 하고 팥죽을 끓이게 하였다고 함 또 절마당에 벼를 말리고 있는데 새떼들이 벼를 먹고 피해를 많이 주므로 주지가 나한전에 가서 기원하였더니 나한님의 신통으로 새떼를 쫓아 버렸다함",,,마하사,,,,,,,N,,,,,,,,,
4,3320000,CDFI5272002018000001,03_07_08_P,U,2025-04-24 02:40:00,유원시설업(기타),꼬마다락방,,부산광역시 북구 구포동 614-71,46583,"부산광역시 북구 구포시장길 48, 3층 (구포동)",2018-09-20,,,,,영업/정상,영업중,382323.54548596,191614.350290118,2025-04-22 10:44:00,,,,0,,0,,,,,0,0,,신고유원시설업,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,,,0,,,0,,,,,0,,0,,,,0
